                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3297,                0.71424,                0.20269,                0.92031,                 1.4448,                0.98583,                      1,                  0.995,                0.65067,                0.98583,                      1,                  0.995,                0.84926,                 1.3617,                0.42237,                0.01393,                0.89439,                 1.6471,               0.001538,               0.001538,               0.001538
                     72,                 1.3927,                 0.7021,                0.18739,                0.87267,                   1.43,                0.99212,                      1,                  0.995,                 0.6164,                0.99212,                      1,                  0.995,                 0.8532,                 1.3489,                0.40658,                0.01383,                0.85033,                 1.6603,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.3719,                0.66112,                 0.2086,                0.91367,                 1.4724,                 0.9925,                      1,                  0.995,                0.63008,                 0.9925,                      1,                  0.995,                 0.8386,                 1.2436,                 0.3859,                 0.0141,                0.83991,                 1.5634,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.3027,                0.72504,                0.22081,                0.89865,                 1.4565,                0.98796,                      1,                  0.995,                0.62529,                0.98796,                      1,                  0.995,                0.84529,                 1.1996,                0.39796,                0.01145,                0.83035,                 1.5426,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.2801,                0.73226,                0.15637,                0.88636,                 1.4485,                0.99255,                      1,                  0.995,                0.59374,                0.99255,                      1,                  0.995,                0.80865,                 1.4219,                0.48449,                0.02316,                0.77338,                 1.7143,              0.0015116,              0.0015116,              0.0015116
                     76,                  1.325,                0.78026,                0.18247,                0.92318,                 1.4439,                 0.9947,                      1,                  0.995,                0.57883,                 0.9947,                      1,                  0.995,                 0.8023,                 1.4796,                0.46669,                0.03269,                0.78361,                 1.7956,               0.001505,               0.001505,               0.001505
                     77,                 1.3178,                0.85127,                0.17633,                 0.8794,                 1.3819,                0.99314,                      1,                  0.995,                0.61514,                0.99314,                      1,                  0.995,                0.82982,                 1.3726,                0.39201,                0.00977,                0.83417,                 1.6701,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.3207,                0.75936,                0.21532,                0.93217,                 1.4593,                0.91937,                0.97222,                0.98271,                0.60654,                0.94563,                      1,                0.99446,                0.80674,                 1.3089,                0.59545,                0.01053,                0.95199,                 1.6027,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.2557,                0.59945,                0.18949,                0.91233,                 1.3829,                0.94897,                0.97222,                 0.9823,                0.61126,                0.97608,                      1,                  0.995,                0.83161,                 1.2714,                0.50629,                0.01385,                0.89035,                  1.568,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.2879,                0.82749,                0.14858,                0.90131,                 1.4172,                0.94557,                0.97222,                0.97393,                0.64436,                0.97259,                      1,                  0.995,                0.80414,                  1.281,                0.46114,                0.01486,                0.89864,                 1.5929,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.3152,                0.69725,                0.17683,                0.95146,                 1.5122,                0.95525,                0.97222,                0.96135,                0.62963,                  0.983,                      1,                  0.995,                0.80653,                 1.2563,                0.38594,                0.01333,                0.86147,                 1.5666,               0.001472,               0.001472,               0.001472
                     82,                 1.2902,                0.68702,                0.16874,                0.88327,                 1.3987,                0.99172,                      1,                  0.995,                0.63868,                0.99172,                      1,                  0.995,                0.81602,                 1.3197,                 0.4154,                0.01249,                0.82844,                 1.5844,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.3396,                0.77933,                0.21544,                0.84309,                 1.4175,                0.99549,                      1,                  0.995,                0.61915,                0.99549,                      1,                  0.995,                0.82064,                 1.3075,                0.46141,                0.00959,                0.73823,                 1.5592,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.3418,                0.71735,                0.19513,                0.83293,                  1.422,                0.94305,                0.97222,                0.94922,                0.56083,                   0.97,                      1,                0.97257,                0.80073,                 1.3495,                0.41961,                0.01351,                0.72314,                  1.598,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.3194,                0.58381,                0.15618,                0.85936,                 1.4285,                0.96782,                0.97222,                0.96676,                0.59443,                0.99547,                      1,                  0.995,                0.82613,                 1.3085,                0.41698,                0.01457,                 0.7554,                 1.5576,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.2524,                0.70462,                0.16448,                0.87107,                  1.391,                 0.9674,                0.97222,                0.96646,                0.58514,                0.99504,                      1,                  0.995,                0.79243,                 1.3404,                0.48892,                0.01271,                0.80156,                 1.6187,               0.001439,               0.001439,               0.001439
                     87,                 1.2974,                0.70026,                0.16493,                0.87683,                 1.4353,                0.99672,                      1,                  0.995,                0.59841,                0.99672,                      1,                  0.995,                0.76163,                 1.3367,                0.55565,                0.01127,                0.79787,                 1.6513,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.2958,                  0.584,                0.17733,                0.86243,                 1.4549,                 0.9963,                      1,                  0.995,                0.58953,                 0.9963,                      1,                  0.995,                 0.8439,                 1.3592,                0.38394,                0.01157,                0.82525,                 1.6434,              0.0014258,              0.0014258,              0.0014258
