                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.5065,                  1.406,                0.28999,                 1.0303,                 1.9204,                 0.9547,                      1,                  0.995,                0.48997,                0.91416,                0.95833,                0.97492,                0.68337,                 1.6166,                 1.0947,                0.07253,                 1.0747,                 2.4894,               0.001604,               0.001604,               0.001604
                     62,                 1.4333,                  1.207,                0.29948,                 1.0555,                   1.82,                0.91603,                0.95833,                0.97347,                0.47591,                 0.8762,                0.91667,                0.93141,                 0.6259,                 1.5603,                 1.1859,                0.09406,                 1.1347,                 2.3993,              0.0015974,              0.0015974,              0.0015974
                     63,                  1.463,                 1.2085,                0.27418,                 1.0674,                 1.9902,                0.81792,                0.91667,                0.91182,                0.44214,                0.81792,                0.91667,                0.92812,                 0.5909,                  1.736,                 1.4646,                0.13412,                 1.2236,                 2.5706,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.4065,                 1.4708,                0.33404,                 1.1296,                 1.8739,                0.94506,                      1,                  0.995,                0.56593,                0.90186,                0.95833,                0.94708,                0.79017,                 1.2992,                0.94288,                0.05678,                 1.3742,                  2.099,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.4282,                 1.3336,                0.26204,                 1.1123,                 1.8086,                0.95484,                0.91667,                0.98711,                0.54282,                0.74823,                  0.875,                0.84842,                0.77737,                 1.2609,                0.94433,                0.05816,                 1.6103,                  2.061,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.3809,                  1.045,                0.30929,                 1.0545,                 1.8516,                0.85358,                0.97192,                0.98289,                0.50531,                0.74471,                0.85119,                0.85382,                0.75673,                 1.2534,                0.93854,                 0.0752,                 1.4949,                 2.0805,               0.001571,               0.001571,               0.001571
                     67,                 1.3495,                 1.3361,                0.29572,                 1.0655,                  1.785,                0.87341,                0.95833,                0.97969,                0.52825,                0.77784,                  0.875,                0.92289,                0.76872,                 1.2953,                0.91651,                0.10293,                 1.3898,                 2.1385,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.3569,                 1.2592,                0.29903,                 1.0992,                 1.8413,                0.91817,                0.83333,                 0.9774,                0.49689,                0.91817,                0.83333,                 0.9774,                0.71353,                 1.3404,                 1.0957,                0.15118,                 1.4201,                 2.1568,              0.0015578,              0.0015578,              0.0015578
                     69,                  1.331,                 1.3365,                0.29511,                  1.084,                 1.8051,                0.95415,                0.86731,                0.97989,                0.50568,                0.83247,                  0.875,                0.92474,                0.75097,                 1.3531,                0.90504,                 0.1042,                 1.2657,                 2.1832,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.3407,                 1.2273,                0.22168,                 1.0334,                 1.7903,                0.92755,                      1,                 0.9918,                 0.5458,                0.80706,                  0.875,                  0.842,                0.76439,                 1.2663,                0.85575,                0.04871,                 1.0286,                 2.0944,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.5492,                 1.1358,                0.28201,                 1.1535,                 1.9314,                0.99189,                      1,                  0.995,                 0.6121,                0.86755,                  0.875,                0.82958,                 0.7133,                 1.2064,                0.92769,                 0.0285,                0.92728,                 2.0404,               0.001538,               0.001538,               0.001538
                     72,                 1.4753,                 1.1406,                0.30218,                 1.0803,                 1.8799,                0.94126,                0.95833,                 0.9664,                0.55049,                0.85867,                  0.875,                0.82594,                0.68184,                 1.2671,                 1.0817,                0.03581,                 1.0857,                 2.0401,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.4345,                 1.0487,                0.25184,                 1.0347,                 1.8081,                0.98911,                      1,                  0.995,                0.52158,                0.86504,                  0.875,                0.82938,                0.72176,                 1.2377,                0.92604,                 0.0351,                 1.1122,                 2.0311,              0.0015248,              0.0015248,              0.0015248
                     74,                  1.421,                 1.3743,                0.24942,                 1.1179,                 1.8791,                0.98545,                      1,                  0.995,                0.56237,                0.86167,                  0.875,                0.83291,                0.74505,                  1.163,                0.86058,                0.03351,                 1.1449,                 1.9867,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.4295,                  1.026,                0.25542,                 1.0815,                 1.8632,                0.96334,                      1,                  0.995,                 0.5881,                0.84214,                  0.875,                0.84656,                0.73986,                 1.2289,                0.88221,                0.03444,                 1.2459,                  2.058,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.3306,                 1.3144,                 0.2275,                 1.0653,                 1.7757,                0.97255,                      1,                  0.995,                0.47008,                0.85049,                  0.875,                0.85448,                0.71919,                 1.3292,                  1.048,                0.04516,                 1.1592,                 2.1751,               0.001505,               0.001505,               0.001505
                     77,                 1.3186,                 1.4732,                0.29055,                 1.0245,                 1.7467,                0.97179,                      1,                  0.995,                0.46458,                 0.8908,                0.91667,                0.92442,                 0.7422,                 1.4177,                 1.1012,                0.05746,                 1.0673,                 2.2581,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.4217,                0.98603,                0.29929,                 1.0424,                 1.8878,                 0.9868,                      1,                  0.995,                0.48197,                0.90429,                0.91667,                0.91036,                0.67642,                   1.38,                 1.1898,                0.07598,                 1.0361,                 2.2121,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.4299,                   1.14,                0.26539,                 1.0018,                 1.8855,                0.71513,                0.95833,                0.77477,                0.38748,                0.68404,                0.91667,                0.70745,                0.53663,                  1.415,                 1.1223,                0.08754,                 1.3026,                 2.2449,              0.0014852,              0.0014852,              0.0014852
